epoch total_reward
0 -186.178018811
1 -509.074261539
2 -624.885089217
3 -723.598627484
4 -377.864913303
5 -280.469022355
6 -414.64209255
7 -355.33826127
8 -277.28936743
9 -84.0077436766
10 -417.106407465
11 -136.888897344
12 -497.444095817
13 -712.66183173
14 -438.925469776
15 -479.991262815
16 -429.915328309
17 -395.962758089
18 -352.795812798
19 -283.359706872
20 -615.657474233
21 -360.343871079
22 -568.719260195
23 -208.328180547
24 -69.6277760712
25 -384.275100992
26 -226.377337566
27 -112.280651394
28 -534.653263121
29 -483.185057789
30 -114.339593753
31 -504.447074469
32 -424.500989902
33 -696.851711251
34 -380.146645079
35 -404.725098817
36 -399.796596651
37 -382.753322109
38 -273.403127667
39 -76.6085506951
40 -455.579639257
41 -359.819599388
42 -525.082203271
43 -253.080332183
44 -130.241804798
45 -129.148804724
46 -487.313834355
47 -95.0100703209
48 -435.785173219
49 -430.332925829
50 -246.501115491
51 -278.58023873
52 -341.648811205
53 -530.543198827
54 -121.330309253
55 -522.11533349
56 -250.842176918
57 -291.862421474
58 -119.419808682
59 -578.095660842
60 -375.159607318
61 -118.270998055
62 -103.6547954
63 -525.773229084
64 -312.561603811
65 -150.764508759
66 -410.83621977
67 -129.011136985
68 -357.831837953
69 -395.0486322
70 -209.129909275
71 -228.76268351
72 -348.817491968
