epoch total_reward
0 225.161177967
1 221.35857025
2 191.192077683
3 218.878871748
4 191.012859229
5 207.217004313
6 197.73326105
7 224.199971417
8 225.715603605
9 222.518446368
10 208.178689545
11 225.30436707
12 225.318611281
13 215.244071338
14 222.719769318
15 207.450119431
16 224.307816632
17 206.129739992
18 188.186648265
19 181.598068781
20 221.402060767
21 177.508746006
22 184.968279825
23 213.877730369
24 217.282301382
25 206.340326246
26 202.075753731
27 211.621669849
28 167.083035768
29 203.391069053
30 234.253486153
31 217.285994127
32 191.205247245
33 208.454200899
34 171.443699351
35 212.132844856
36 189.260432595
37 179.584639547
38 199.37561223
39 228.309640773
40 201.157049495
41 217.756571667
42 224.910901761
43 214.456142327
44 213.616949825
45 193.694608646
46 188.466550044
47 194.450071012
48 241.286499811
49 223.558543804
50 216.68848913
51 215.012514812
52 226.126200326
53 218.809269665
54 207.141740623
55 188.437504194
56 217.49598747
57 196.384719931
58 221.713224443
59 215.481641197
60 190.984123894
61 209.354946384
62 223.725942464
63 221.315865503
64 229.494744311
65 219.293459247
66 183.288418385
67 210.651006139
68 172.930327513
69 223.214417223
70 207.561109544
71 183.46636343
72 202.823851161
73 216.752086073
74 217.752756051
75 210.269184965
76 236.986003119
77 216.190316312
78 221.902087846
79 214.086339992
80 206.62717697
81 191.983242504
82 186.27218268
83 219.785030305
84 186.361246646
85 227.059183817
86 213.567970325
87 228.049149198
88 220.84636587
89 220.644055069
90 220.504479612
91 192.482732281
92 182.844441719
93 184.493411986
94 211.895119943
95 208.560149473
96 226.528098193
97 225.028829172
98 206.94301811
99 210.242519596
100 215.167562128
101 213.90446044
102 207.406571817
103 180.752796153
104 223.278267792
105 173.925341057
106 208.41683291
107 208.631724563
108 221.580438314
109 201.307841684
110 193.957733578
111 225.287607364
112 201.31073652
113 218.952572662
114 215.473354252
115 223.579227778
116 205.105619293
117 187.724600933
118 210.8999374
119 232.570576487
