epoch total_reward
0 -531.896892813
1 -236.513526978
2 -454.285626038
3 -361.904899227
4 -483.012544258
5 -686.530507832
6 -312.696670902
7 -396.987731847
8 -624.364590544
9 -614.948396175
10 -484.002406706
11 -383.147679326
12 -475.188353141
13 -702.079351946
14 -589.056630651
15 -446.626999656
16 -111.362203891
17 -243.711751543
18 -332.499068
19 -437.256562267
20 -249.532782274
21 -42.7063635272
22 -281.564110069
23 -269.547743035
24 -631.401787057
25 -214.830392248
26 -486.554594541
27 -212.794439993
28 -43.1742637427
29 -390.128485896
30 -317.502818596
31 -384.613892369
32 -351.49500378
33 -421.941815408
34 -408.907969729
35 -322.654093853
36 -433.320574243
37 -41.2905070492
38 -276.656517841
39 -548.206191706
40 -353.082968671
41 -326.295369497
42 -520.485494356
43 -165.464912805
44 -681.21252102
45 -643.929904433
46 -123.282064472
47 -366.036540296
48 -340.561075027
49 -492.271953278
50 -326.073091943
51 -334.743565958
52 -150.00146347
53 -467.650085724
54 -356.944470562
55 -323.140242577
56 -145.434181526
57 -468.341576657
58 -193.601063346
59 -230.616836556
60 -457.126860107
61 -400.843778219
62 -55.5553641654
63 -240.446187515
64 -595.976357814
65 -647.573838212
66 -424.220031451
67 -258.243746282
68 -698.955658984
69 -231.395288321
70 -426.219086091
71 -383.922059794
72 -88.1528531452
73 -244.7499234
74 -351.88903073
75 -146.117184801
76 -80.9095499823
77 -702.259625139
78 -397.101871026
79 -371.989572961
80 -92.7999992883
81 -202.586796666
82 -246.702505084
83 -349.709681319
84 -19.6973702194
85 -373.696770604
86 -22.9678566222
87 -353.047235303
88 -383.471013416
89 -460.505788397
90 -236.199478444
91 -174.997560195
92 -122.664620112
93 -373.54102318
94 -548.215788151
95 -142.472862863
96 -100.85381525
97 -358.002696741
98 -480.516827854
99 -118.055854492
100 -362.403320324
101 -151.427680993
102 -342.501958333
103 -302.061837827
104 -330.065344465
105 -148.84748915
106 -443.413073981
107 -279.28991747
108 -86.0196518998
109 -348.880746002
110 -182.025960514
111 -187.783891233
112 -198.579775189
113 -680.02840064
114 -373.106174155
115 -702.348419061
116 -322.958735773
117 -334.667402056
118 -334.990253012
119 -704.277069372
120 -120.090305479
121 -63.8265677086
122 -324.624671885
